latitude,longitude,element,id,building,name,addr:street,name:en,tourism,addr:housenumber,addr:postcode,addr:block_number,addr:place,residential,building:levels,building:roof,building:structure,building:use,building:walls,addr:city,phone,amenity,addr:housename,addr:district,addr:province,addr:subdistrict,addr:neighbourhood,height,addr:full,description,religion,addr:unit,addr:suburb,house,landuse,shop,layer,noaddress,addr:block,smoking,cuisine,healthcare,delivery,mobile,not:name,opening_hours,takeaway,website,air_conditioning,branch,brand,brand:wikidata,brand:wikipedia,name:id,name:ja,operator,payment:cash,payment:credit_cards,payment:debit_cards,toilets,toilets:access,building:flats,alt_name,level,payment:contactless,payment:electronic_purses,payment:qr_code,wheelchair,official_name,natural,social_facility,social_facility:for,note,category,nearest_node,network_distance_m
-6.8918913,107.60580475065545,way,376352631,residential,The Jarrdin @Cihampelas,Jalan Cihampelas,,,10 BLK,40131,,,,,,,,,Bandung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,5463988167,5894.363596494155
-6.8771097,107.61768836162324,way,377299650,residential,Kantin Tegal Abadi Putra,,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amenity=restaurant,3373712065,4683.714505240898
-6.87413395,107.61901480927818,way,377299766,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376887,5075.295227905501
-6.88125015,107.61612055,way,377299780,residential,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1381585534,4235.1903451622
-6.882362199999999,107.61515777391477,way,377299783,residential,,Jalan Ir. H. Djuanda,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1381585557,4224.485966546951
-6.880123149999999,107.61596590445495,way,377299786,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1960168485,4337.236037128256
-6.87957575,107.61609639862395,way,377299791,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,2325448480,4355.073657048249
-6.88098785,107.61588074031249,way,377299793,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,12079490288,4223.390191810712
-6.87739785,107.61714796958107,way,377299803,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662377003,4671.868444373065
-6.8742599,107.61887258108402,way,377299805,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376887,5075.295227905501
-6.88025015,107.61670022968153,way,377299810,residential,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,3806722513,4489.941519024267
-6.8760715,107.61792495,way,377299811,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376617,4808.890991874382
-6.8763772,107.61785477957689,way,377299812,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376617,4808.890991874382
-6.88312835,107.61494125114675,way,377299814,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,5463827219,3989.9427689137256
-6.8768117,107.617275963524,way,377299816,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662377003,4671.868444373065
-6.87584375,107.61810285403433,way,377299828,residential,,Jalan Ir. H. Djuanda,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,11142011576,4879.522999262507
-6.87593695,107.61797308266773,way,377299829,residential,,Jalan Ir. H. Djuanda,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376617,4808.890991874382
-6.8765072499999995,107.61814518407985,way,377302798,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376803,4818.071347531102
-6.8766691,107.61812900000001,way,377302803,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1960168421,4875.0795306285445
-6.8686117499999995,107.62082939893278,way,377400047,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376865,5734.7338181825935
-6.8677490500000005,107.62091145326875,way,377400056,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662377004,5788.227847521749
-6.8730366,107.61995137426025,way,377400061,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376902,5251.4698828663895
-6.8738405,107.61915880000001,way,377559037,residential,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=residential,1662376887,5075.295227905501
-6.88844905,107.56306516635101,way,380759152,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667343,8823.228772428121
-6.888631050000001,107.56322736487897,way,380759155,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5646922219,8809.701230209503
-6.88852475,107.563379,way,380759156,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425812,8839.331077823148
-6.88868145,107.56349242857397,way,380759157,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425812,8839.331077823148
-6.88886865,107.56320174601568,way,380759160,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5646922219,8809.701230209503
-6.8885565500000006,107.56289162811501,way,380759161,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667343,8823.228772428121
-6.8886585,107.56283016674587,way,380759163,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667343,8823.228772428121
-6.8886971,107.56291848417058,way,380759164,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667343,8823.228772428121
-6.888620599999999,107.5629688926438,way,380759168,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,9708667343,8823.228772428121
-6.888727449999999,107.56300674418787,way,380759169,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5646922219,8809.701230209503
-6.88912765,107.56354835450693,way,380759170,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.88872795,107.56369758805442,way,380759172,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,5495425812,8839.331077823148
-6.8888967,107.56375302826088,way,380759173,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.88926445,107.56415690072889,way,380759174,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8892009000000005,107.56407463459053,way,380759176,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8890621,107.56390813963964,way,380759177,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.88894855,107.5639617354174,way,380759178,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8890863499999995,107.56430707678294,way,380759179,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.88888985,107.56404600921482,way,380759182,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8890911500000005,107.56403787789108,way,380759183,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8893915,107.56403201964287,way,380759185,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.88938715,107.56391637420768,way,380759186,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
-6.8895081000000005,107.56397771148431,way,380759187,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building=house,3840710412,8657.896098872914
